,label,timestamps_start,timestamps_end
0,Q,1.565882115e+18,1.5658822949496223e+18
1,K,1.565882295e+18,1.5658824748992443e+18
2,M,1.5658824749496223e+18,1.5658826548488666e+18
3,O,1.5658826548992443e+18,1.5658828348488666e+18
4,P,1.5658828348992443e+18,1.5658830148992443e+18
5,R,1.5658830149496223e+18,1.5658831948992443e+18
6,A,1.5658831949496223e+18,1.5658833748992443e+18
7,B,1.5658833749496223e+18,1.5658835548488666e+18
8,D,1.5658835548992443e+18,1.5658837348992443e+18
9,F,1.5658837349496223e+18,1.5658839148992443e+18
10,E,1.5658839149496223e+18,1.5658840948992443e+18
11,I,1.5658840949496223e+18,1.5658842748992443e+18
12,S,1.5658842749496223e+18,1.5658844548992443e+18
13,J,1.5658844549496223e+18,1.5658846349496223e+18
14,L,1.565884635e+18,1.5658848149496223e+18
15,H,1.565884815e+18,1.565884995e+18
16,G,1.5658849950503777e+18,1.565885175e+18
17,C,1.5658851750503777e+18,1.565885355e+18
