,label,timestamps_start,timestamps_end
0,Q,1.565882115e+18,1.5658823055534477e+18
1,K,1.5658823055956895e+18,1.5658824960646536e+18
2,M,1.5658824961068956e+18,1.5658826866181015e+18
3,O,1.5658826866603433e+18,1.5658828772137912e+18
4,R,1.5658828772560333e+18,1.565883067809481e+18
5,P,1.565883067851723e+18,1.5658832584051707e+18
6,A,1.5658832584474127e+18,1.5658834490853445e+18
7,B,1.5658834491275863e+18,1.565883639723276e+18
8,E,1.565883639765518e+18,1.565883830276724e+18
9,D,1.5658838303189658e+18,1.5658840209146555e+18
10,F,1.5658840209568975e+18,1.5658842114681034e+18
11,I,1.5658842115103457e+18,1.565884402021551e+18
12,S,1.5658844020637932e+18,1.565884592574999e+18
13,L,1.565884592617241e+18,1.5658847831284467e+18
14,H,1.5658847831706888e+18,1.5658849737663785e+18
15,G,1.5658849738086203e+18,1.5658851643198264e+18
16,C,1.5658851643620682e+18,1.565885355e+18
