,label,timestamps_start,timestamps_end
0,D,1.565882115e+18,1.5658822512961044e+18
1,E,1.5658822513342715e+18,1.5658823876685435e+18
2,F,1.565882387706711e+18,1.5658825240791503e+18
3,Q,1.565882524117318e+18,1.5658826604134223e+18
4,A,1.5658826604515896e+18,1.565882796747694e+18
5,B,1.5658827967858616e+18,1.5658829330819658e+18
6,M,1.5658829331201334e+18,1.5658830694162376e+18
7,P,1.565883069454405e+18,1.5658832057505096e+18
8,O,1.5658832057886769e+18,1.5658833420847813e+18
9,C,1.5658833421229489e+18,1.5658834784572206e+18
10,L,1.5658834784953882e+18,1.5658836148678277e+18
11,I,1.565883614905995e+18,1.5658839182993674e+18
12,J,1.565883918337535e+18,1.5658842595548892e+18
13,K,1.5658842595930568e+18,1.5658845687115528e+18
14,H,1.5658845687497203e+18,1.5658849099670746e+18
15,S,1.565884910005242e+18,1.5658850821787863e+18
16,R,1.565885082216954e+18,1.5658852185893932e+18
17,G,1.5658852186275607e+18,1.565885355e+18
