,label,timestamps_start,timestamps_end
0,M,1.565882115e+18,1.5658823332399844e+18
1,O,1.565882333292814e+18,1.5658825220009295e+18
2,K,1.5658825220537592e+18,1.5658827108147044e+18
3,E,1.565882710867534e+18,1.5658828995756493e+18
4,S,1.5658828996284792e+18,1.5658830883365944e+18
5,R,1.565883088389424e+18,1.5658832770447096e+18
6,Q,1.5658832770975396e+18,1.5658834658584845e+18
7,I,1.5658834659113144e+18,1.5658836546194296e+18
8,F,1.565883654672259e+18,1.5658838434332045e+18
9,G,1.5658838434860344e+18,1.5658840321413197e+18
10,A,1.5658840321941496e+18,1.565884221113584e+18
11,J,1.5658842211664138e+18,1.5658844109311255e+18
12,L,1.5658844109839557e+18,1.5658845997449004e+18
13,H,1.5658845997977303e+18,1.5658847885058455e+18
14,C,1.5658847885586757e+18,1.565884977266791e+18
15,P,1.5658849773196204e+18,1.5658851660277356e+18
16,D,1.5658851660805655e+18,1.565885355e+18
