,label,timestamps_start,timestamps_end
0,D,1.565882115e+18,1.5658823034457477e+18
1,E,1.565882303485337e+18,1.5658824820733138e+18
2,F,1.5658824821129032e+18,1.56588266070088e+18
3,Q,1.5658826607404692e+18,1.5658828392888563e+18
4,A,1.5658828393284457e+18,1.5658830178372434e+18
5,B,1.5658830178768328e+18,1.5658831964648095e+18
6,M,1.5658831965043988e+18,1.565883380159824e+18
7,O,1.5658833801994135e+18,1.565883558866569e+18
8,P,1.5658835589061583e+18,1.5658837374545454e+18
9,C,1.5658837374941348e+18,1.5658839161217009e+18
10,L,1.5658839161612902e+18,1.565884094749267e+18
11,I,1.5658840947888563e+18,1.5658842733768328e+18
12,K,1.5658842734164224e+18,1.5658844619413489e+18
13,J,1.5658844619809385e+18,1.5658846404897362e+18
14,H,1.5658846405293256e+18,1.5658848190777126e+18
15,R,1.565884819117302e+18,1.565884997744868e+18
16,S,1.5658849977844577e+18,1.5658851764120236e+18
17,G,1.565885176451613e+18,1.565885355e+18
