,label,timestamps_start,timestamps_end
0,D,1.565882115e+18,1.565882258271711e+18
1,E,1.5658822583117755e+18,1.565882401543422e+18
2,R,1.565882401583487e+18,1.565882544654874e+18
3,K,1.5658825446949386e+18,1.5658826878063903e+18
4,L,1.5658826878464553e+18,1.5658828309579072e+18
5,I,1.565882830997972e+18,1.565882974109424e+18
6,H,1.5658829741494886e+18,1.5658831172208758e+18
7,J,1.5658831172609403e+18,1.5658832603723924e+18
8,Q,1.5658832604124572e+18,1.5658834034838444e+18
9,F,1.565883403523909e+18,1.565883546595296e+18
10,S,1.5658835466353608e+18,1.565883689706748e+18
11,G,1.565883689746813e+18,1.565883832978459e+18
12,C,1.565883833018524e+18,1.565883976290235e+18
13,A,1.5658839763302996e+18,1.5658841194417516e+18
14,B,1.5658841194818163e+18,1.5658842803820375e+18
15,M,1.5658842804221025e+18,1.56588463860138e+18
16,O,1.5658846386414449e+18,1.5658849968207224e+18
17,P,1.5658849968607872e+18,1.565885355e+18
