,label,timestamps_start,timestamps_end
0,D,1.565882115e+18,1.5658822349030272e+18
1,E,1.5658822349365947e+18,1.565882354806055e+18
2,K,1.565882354839622e+18,1.565882474742649e+18
3,R,1.5658824747762168e+18,1.5658825946456763e+18
4,S,1.565882594679244e+18,1.5658827145822715e+18
5,I,1.565882714615839e+18,1.5658828344852987e+18
6,H,1.5658828345188662e+18,1.5658829544218934e+18
7,Q,1.5658829544554609e+18,1.5658830743920558e+18
8,F,1.5658830744256233e+18,1.565883194295083e+18
9,C,1.5658831943286505e+18,1.5658833142652452e+18
10,G,1.565883314298813e+18,1.5658834342354074e+18
11,L,1.5658834342689748e+18,1.5658837343286505e+18
12,M,1.565883734362218e+18,1.5658840344554609e+18
13,O,1.5658840344890284e+18,1.5658843345822715e+18
14,P,1.565884334615839e+18,1.565884634709082e+18
15,A,1.565884634742649e+18,1.5658849348358922e+18
16,B,1.5658849348694597e+18,1.5658852349627028e+18
17,J,1.5658852349962703e+18,1.565885355e+18
