,label,timestamps_start,timestamps_end
0,D,1.565882115e+18,1.5658822949020416e+18
1,E,1.56588229495242e+18,1.565882474955219e+18
2,R,1.5658824750055977e+18,1.5658826549580178e+18
3,Q,1.5658826550083963e+18,1.565882834910438e+18
4,J,1.5658828349608166e+18,1.5658830149636155e+18
5,I,1.565883015013994e+18,1.5658831949664143e+18
6,K,1.5658831950167928e+18,1.5658833750195917e+18
7,F,1.5658833750699702e+18,1.5658835549720118e+18
8,H,1.5658835550223903e+18,1.565883734924432e+18
9,L,1.5658837349748106e+18,1.565883914927231e+18
10,G,1.5658839149776097e+18,1.5658840949300298e+18
11,S,1.5658840949804083e+18,1.5658842749832072e+18
12,A,1.5658842750335857e+18,1.565884454986006e+18
13,B,1.5658844550363845e+18,1.5658846349888049e+18
14,M,1.5658846350391834e+18,1.5658848149916037e+18
15,O,1.5658848150419822e+18,1.565884995044781e+18
16,P,1.5658849950951596e+18,1.56588517504758e+18
17,C,1.5658851750979584e+18,1.565885355e+18
