,label,timestamps_start,timestamps_end
0,D,1.565882115e+18,1.5658822949104338e+18
1,E,1.5658822949608148e+18,1.5658824748712486e+18
2,K,1.5658824749216297e+18,1.5658826548824443e+18
3,R,1.565882654932825e+18,1.5658828348936402e+18
4,S,1.5658828349440212e+18,1.565883014854455e+18
5,Q,1.5658830149048358e+18,1.5658831948656507e+18
6,F,1.5658831949160315e+18,1.5658833748768466e+18
7,I,1.5658833749272274e+18,1.5658835547872804e+18
8,C,1.5658835548376614e+18,1.565883734798476e+18
9,L,1.565883734848857e+18,1.5658839149608148e+18
10,B,1.5658839150111956e+18,1.5658840949216297e+18
11,A,1.5658840949720105e+18,1.5658842749832064e+18
12,M,1.5658842750335872e+18,1.565884454994402e+18
13,O,1.565884455044783e+18,1.565884634955217e+18
14,P,1.565884635005598e+18,1.5658848150167936e+18
15,H,1.565884815067175e+18,1.5658849949776084e+18
16,J,1.5658849950279895e+18,1.5658851749888044e+18
17,G,1.5658851750391852e+18,1.565885355e+18
